idcaja_cierre#fecha_creado#creado_por#fecha_inicio#fecha_fin#estado#fk_idusuario#maquina
1#2023-01-18 11:05:19.4#PROGRAMADOR ADMIN#2023-01-17 12:35:47#2023-01-18 11:04:37#CERRADO#1#PC2
53#2023-02-04 21:54:07.645#JUAN#2023-02-04 14:02:10#2023-02-04 21:50:04#CERRADO#10#PC2
54#2023-02-05 06:11:43.27#CARLOS#2023-02-04 21:55:31#2023-02-05 06:05:27#CERRADO#12#PC2
55#2023-02-05 14:06:49.01#CARLOS#2023-02-05 06:13:48#2023-02-05 12:49:11#CERRADO#12#PC2
56#2023-02-05 21:56:26.917#LUCY#2023-02-05 14:16:26#2023-02-05 21:56:08#CERRADO#11#PC2
57#2023-02-06 05:54:35.215#JUAN#2023-02-05 21:58:15#2023-02-06 05:41:39#CERRADO#10#PC2
58#2023-02-06 13:57:05.834#CARLOS#2023-02-06 05:57:03#2023-02-06 13:56:18#CERRADO#12#PC2
59#2023-02-06 21:55:09.988#LUCY#2023-02-06 13:57:36#2023-02-06 21:33:23#CERRADO#11#PC2
60#2023-02-07 05:59:42.91#JUAN#2023-02-06 21:56:18#2023-02-07 01:52:38#CERRADO#10#PC2
61#2023-02-07 13:59:45.515#CARLOS#2023-02-07 06:01:10#2023-02-07 13:42:39#CERRADO#12#PC2
62#2023-02-07 21:57:14.191#LUCY#2023-02-07 14:00:38#2023-02-07 21:56:17#CERRADO#11#PC2
63#2023-02-08 05:55:37.939#JUAN#2023-02-07 21:57:58#2023-02-08 05:25:50#CERRADO#10#PC2
64#2023-02-08 13:53:29.814#CARLOS#2023-02-08 05:57:50#2023-02-08 12:59:08#CERRADO#12#PC2
65#2023-02-08 21:59:52.546#LUCY#2023-02-08 13:54:45#2023-02-08 21:59:46#CERRADO#11#PC2
66#2023-02-09 05:55:53.273#JUAN#2023-02-08 22:00:55#2023-02-09 05:51:31#CERRADO#10#PC2
67#2023-02-09 13:52:09.015#CARLOS#2023-02-09 05:57:14#2023-02-09 13:07:13#CERRADO#12#PC2
68#2023-02-09 21:57:25.699#LUCY#2023-02-09 13:52:52#2023-02-09 21:32:39#CERRADO#11#PC2
69#2023-02-10 06:00:49.886#JUAN#2023-02-09 21:58:31#2023-02-10 06:00:08#CERRADO#10#PC2
70#2023-02-10 13:54:31.761#CARLOS#2023-02-10 06:02:53#2023-02-10 13:35:22#CERRADO#12#PC2
71#2023-02-10 22:01:44.998#LUCY#2023-02-10 13:55:05#2023-02-10 21:47:23#CERRADO#11#PC2
72#2023-02-11 05:56:39.355#JUAN#2023-02-10 22:02:54#2023-02-11 05:50:42#CERRADO#10#PC2
73#2023-02-11 13:59:25.086#CARLOS#2023-02-11 05:59:11#2023-02-11 13:39:27#CERRADO#12#PC2
74#2023-02-11 21:59:24.001#LUCY#2023-02-11 14:00:19#2023-02-11 21:58:03#CERRADO#11#PC2
75#2023-02-12 06:00:15.342#JUAN#2023-02-11 22:00:23#2023-02-12 05:54:54#CERRADO#10#PC2
76#2023-02-12 14:02:36.612#JUAN#2023-02-12 06:01:54#2023-02-12 13:20:02#CERRADO#10#PC2
77#2023-02-12 21:55:11.987#LUCY#2023-02-12 14:03:39#2023-02-12 21:49:02#CERRADO#11#PC2
78#2023-02-13 05:43:56.81#CARLOS#2023-02-12 21:56:16#2023-02-13 05:40:51#CERRADO#12#PC2
79#2023-02-13 13:55:22.386#JUAN#2023-02-13 05:56:38#2023-02-13 13:17:20#CERRADO#10#PC2
80#2023-02-13 21:55:24.036#LUCY#2023-02-13 13:56:25#2023-02-13 21:55:15#CERRADO#11#PC2
81#2023-02-14 05:51:44.321#CARLOS#2023-02-13 21:56:42#2023-02-14 05:11:33#CERRADO#12#PC2
82#2023-02-14 14:00:23.267#JUAN#2023-02-14 05:53:15#2023-02-14 14:00:12#CERRADO#10#PC2
83#2023-02-14 21:51:57.926#LUCY#2023-02-14 14:01:09#2023-02-14 21:51:42#CERRADO#11#PC2
84#2023-02-15 06:00:45.521#CARLOS#2023-02-14 21:53:18#2023-02-15 05:43:27#CERRADO#12#PC2
85#2023-02-15 13:55:36.239#JUAN#2023-02-15 06:05:18#2023-02-15 13:34:08#CERRADO#10#PC2
86#2023-02-15 21:59:51.444#LUCY#2023-02-15 13:56:36#2023-02-15 21:54:11#CERRADO#11#PC2
87#2023-02-16 05:54:10.36#CARLOS#2023-02-15 22:00:51#2023-02-16 05:09:56#CERRADO#12#PC2
88#2023-02-16 13:51:08.446#JUAN#2023-02-16 05:54:48#2023-02-16 13:26:13#CERRADO#10#PC2
89#2023-02-16 21:54:48.838#LUCY#2023-02-16 13:51:53#2023-02-16 21:54:34#CERRADO#11#PC2
90#2023-02-17 05:54:02.598#CARLOS#2023-02-16 21:56:17#2023-02-17 05:42:31#CERRADO#12#PC2
91#2023-02-17 13:58:30.216#JUAN#2023-02-17 05:59:28#2023-02-17 13:09:36#CERRADO#10#PC2
92#2023-02-17 21:53:53.968#LUCY#2023-02-17 13:59:39#2023-02-17 21:53:30#CERRADO#11#PC2
93#2023-02-18 05:57:19.152#CARLOS#2023-02-17 21:54:47#2023-02-18 05:30:53#CERRADO#12#PC2
94#2023-02-18 13:58:29.459#JUAN#2023-02-18 06:00:35#2023-02-18 13:41:20#CERRADO#10#PC2
95#2023-02-18 21:56:47.681#LUCY#2023-02-18 13:59:42#2023-02-18 21:52:51#CERRADO#11#PC2
96#2023-02-19 06:09:13.871#CARLOS#2023-02-18 21:58:37#2023-02-19 05:43:27#CERRADO#12#PC2
97#2023-02-19 13:47:32.741#LUCY#2023-02-19 06:10:47#2023-02-19 13:25:58#CERRADO#11#PC2
98#2023-02-19 21:54:23.776#CARLOS#2023-02-19 13:48:11#2023-02-19 21:51:34#CERRADO#12#PC2
99#2023-02-20 05:53:38.642#JUAN#2023-02-19 21:55:33#2023-02-20 05:24:01#CERRADO#10#PC2
100#2023-02-20 13:55:08.747#LUCY#2023-02-20 05:55:35#2023-02-20 13:53:32#CERRADO#11#PC2
101#2023-02-20 22:00:03.157#CARLOS#2023-02-20 13:55:53#2023-02-20 21:38:38#CERRADO#12#PC2
102#2023-02-21 05:49:25.269#JUAN#2023-02-20 22:03:17#2023-02-21 05:47:12#CERRADO#10#PC2
103#2023-02-21 13:58:08.486#LUCY#2023-02-21 05:51:52#2023-02-21 13:43:10#CERRADO#11#PC2
104#2023-02-21 21:55:56.087#CARLOS#2023-02-21 13:58:55#2023-02-21 21:46:48#CERRADO#12#PC2
105#2023-02-22 05:58:03.453#JUAN#2023-02-21 21:56:57#2023-02-22 01:37:18#CERRADO#10#PC2
106#2023-02-22 13:55:15.916#LUCY#2023-02-22 05:58:49#2023-02-22 13:39:18#CERRADO#11#PC2
107#2023-02-22 21:56:45.028#CARLOS#2023-02-22 13:55:50#2023-02-22 21:38:29#CERRADO#12#PC2
108#2023-02-23 05:52:59.198#JUAN#2023-02-22 21:57:46#2023-02-23 05:48:51#CERRADO#10#PC2
109#2023-02-23 13:57:43.206#LUCY#2023-02-23 05:53:56#2023-02-23 13:37:53#CERRADO#11#PC2
110#2023-02-23 22:00:09.98#CARLOS#2023-02-23 13:58:37#2023-02-23 21:58:57#CERRADO#12#PC2
111#2023-02-24 05:55:01.576#JUAN#2023-02-23 22:00:59#2023-02-24 05:54:34#CERRADO#10#PC2
112#2023-02-24 13:57:17.476#LUCY#2023-02-24 05:58:10#2023-02-24 13:44:01#CERRADO#11#PC2
113#2023-02-24 22:02:41.84#CARLOS#2023-02-24 13:57:59#2023-02-24 22:02:00#CERRADO#12#PC2
114#2023-02-25 05:56:54.052#JUAN#2023-02-24 22:04:23#2023-02-25 05:48:42#CERRADO#10#PC2
115#2023-02-25 13:55:09.352#LUCY#2023-02-25 05:57:33#2023-02-25 13:54:59#CERRADO#11#PC2
116#2023-02-25 21:53:44.188#CARLOS#2023-02-25 13:55:59#2023-02-25 21:43:09#CERRADO#12#PC2
117#2023-02-26 05:56:48.948#JUAN#2023-02-25 21:58:51#2023-02-26 05:52:17#CERRADO#10#PC2
118#2023-02-26 13:57:30.649#LUCY#2023-02-26 05:57:55#2023-02-26 13:32:23#CERRADO#11#PC2
119#2023-02-26 21:52:39.387#JUAN#2023-02-26 13:58:23#2023-02-26 21:47:21#CERRADO#10#PC2
120#2023-02-27 06:03:38.887#CARLOS#2023-02-26 21:53:56#2023-02-27 05:56:03#CERRADO#12#PC2
121#2023-02-27 13:59:09.331#LUCY#2023-02-27 06:05:07#2023-02-27 13:59:03#CERRADO#11#PC2
122#2023-02-27 21:56:12.184#JUAN#2023-02-27 13:59:52#2023-02-27 21:56:04#CERRADO#10#PC2
123#2023-02-28 05:59:51.187#CARLOS#2023-02-27 21:57:12#2023-02-28 04:02:34#CERRADO#12#PC2
124#2023-02-28 13:55:56.87#LUCY#2023-02-28 06:00:34#2023-02-28 10:26:10#CERRADO#11#PC2
125#2023-02-28 22:00:04.866#JUAN#2023-02-28 13:56:24#2023-02-28 21:59:54#CERRADO#10#PC2
126#2023-03-01 06:04:01.511#CARLOS#2023-02-28 22:00:50#2023-03-01 05:52:22#CERRADO#12#PC2
127#2023-03-01 13:58:20.851#LUCY#2023-03-01 06:04:51#2023-03-01 13:37:08#CERRADO#11#PC2
128#2023-03-01 21:52:32.136#JUAN#2023-03-01 13:58:57#2023-03-01 21:45:13#CERRADO#10#PC2
129#2023-03-02 05:52:15.711#CARLOS#2023-03-01 21:53:22#2023-03-02 05:41:52#CERRADO#12#PC2
130#2023-03-02 17:50:11.206#JUAN#2023-03-02 05:52:54#2023-03-02 17:42:45#CERRADO#10#PC2
131#2023-03-03 05:41:23.828#CARLOS#2023-03-02 17:55:15#2023-03-03 05:17:19#CERRADO#12#PC2
132#2023-03-03 17:55:03.387#JUAN#2023-03-03 05:51:08#2023-03-03 17:34:10#CERRADO#10#PC2
133#2023-03-04 05:57:23.604#CARLOS#2023-03-03 17:56:16#2023-03-04 05:40:07#CERRADO#12#PC2
134#2023-03-04 13:55:57.918#LUCY#2023-03-04 06:05:05#2023-03-04 13:54:41#CERRADO#11#PC2
135#2023-03-04 21:58:30.587#JUAN#2023-03-04 13:56:40#2023-03-04 21:58:21#CERRADO#10#PC2
136#2023-03-05 05:57:15.158#CARLOS#2023-03-04 21:59:40#2023-03-05 05:43:46#CERRADO#12#PC2
137#2023-03-05 17:56:00.733#LUCY#2023-03-05 05:59:54#2023-03-05 17:55:51#CERRADO#11#PC2
138#2023-03-06 05:57:42.348#JUAN#2023-03-05 17:58:39#2023-03-06 05:55:41#CERRADO#10#PC2
139#2023-03-06 14:01:06.232#CARLOS#2023-03-06 06:00:05#2023-03-06 13:43:55#CERRADO#12#PC2
140#2023-03-06 22:00:34.668#LUCY#2023-03-06 14:01:46#2023-03-06 21:58:06#CERRADO#11#PC2
141#2023-03-07 05:47:46.41#JUAN#2023-03-06 22:02:13#2023-03-07 02:43:03#CERRADO#10#PC2
142#2023-03-07 14:01:35.301#CARLOS#2023-03-07 05:51:21#2023-03-07 13:57:33#CERRADO#12#PC2
143#2023-03-07 21:57:33.114#LUCY#2023-03-07 14:02:19#2023-03-07 21:57:02#CERRADO#11#PC2
144#2023-03-08 05:56:37.266#JUAN#2023-03-07 21:58:43#2023-03-08 05:56:22#CERRADO#10#PC2
145#2023-03-08 13:57:17.716#CARLOS#2023-03-08 05:57:11#2023-03-08 13:51:24#CERRADO#12#PC2
146#2023-03-08 22:01:29.169#LUCY#2023-03-08 13:57:56#2023-03-08 21:50:21#CERRADO#11#PC2
147#2023-03-09 05:49:06.086#JUAN#2023-03-08 22:02:24#2023-03-09 05:45:06#CERRADO#10#PC2
148#2023-03-09 13:51:49.041#CARLOS#2023-03-09 06:10:37#2023-03-09 13:27:52#CERRADO#12#PC2
149#2023-03-09 21:58:34.215#LUCY#2023-03-09 13:52:26#2023-03-09 21:49:37#CERRADO#11#PC2
150#2023-03-10 05:56:09.053#JUAN#2023-03-09 21:59:49#2023-03-10 05:47:03#CERRADO#10#PC2
151#2023-03-10 13:57:15.152#CARLOS#2023-03-10 05:57:26#2023-03-10 13:56:12#CERRADO#12#PC2
152#2023-03-10 21:59:36.524#LUCY#2023-03-10 13:58:31#2023-03-10 21:55:49#CERRADO#11#PC2
153#2023-03-11 05:58:02.384#JUAN#2023-03-10 22:00:44#2023-03-11 05:57:45#CERRADO#10#PC2
154#2023-03-11 14:02:08.1#CARLOS#2023-03-11 05:59:04#2023-03-11 13:52:05#CERRADO#12#PC2
155#2023-03-11 21:57:58.551#LUCY#2023-03-11 14:03:02#2023-03-11 21:51:28#CERRADO#11#PC2
156#2023-03-12 06:00:31.329#JUAN#2023-03-11 21:59:20#2023-03-12 05:51:05#CERRADO#10#PC2
157#2023-03-12 17:53:34.986#LUCY#2023-03-12 06:01:33#2023-03-12 17:53:26#CERRADO#11#PC2
158#2023-03-13 05:51:14.312#CARLOS#2023-03-12 17:54:23#2023-03-13 05:27:26#CERRADO#12#PC2
159#2023-03-13 13:49:24.14#JUAN#2023-03-13 05:53:46#2023-03-13 13:47:43#CERRADO#10#PC2
160#2023-03-13 21:53:40.58#LUCY#2023-03-13 13:54:39#2023-03-13 21:53:26#CERRADO#11#PC2
161#2023-03-14 05:56:07.013#CARLOS#2023-03-13 21:54:44#2023-03-14 05:51:43#CERRADO#12#PC2
162#2023-03-14 14:01:12.753#JUAN#2023-03-14 05:59:48#2023-03-14 14:00:48#CERRADO#10#PC2
163#2023-03-14 14:02:54.352#JUAN#2023-03-14 14:02:39#2023-03-14 14:02:48#CERRADO#10#PC2
164#2023-03-14 21:54:29.627#LUCY#2023-03-14 14:03:21#2023-03-14 21:54:18#CERRADO#11#PC2
165#2023-03-15 06:00:10.55#CARLOS#2023-03-14 21:55:34#2023-03-15 05:56:08#CERRADO#12#PC2
166#2023-03-15 14:00:07.445#JUAN#2023-03-15 06:01:14#2023-03-15 14:00:01#CERRADO#10#PC2
167#2023-03-15 22:00:05.685#LUCY#2023-03-15 14:01:27#2023-03-15 21:48:12#CERRADO#11#PC2
168#2023-03-16 05:59:31.766#CARLOS#2023-03-15 22:01:17#2023-03-16 03:14:10#CERRADO#12#PC2
169#2023-03-16 13:55:36.93#JUAN#2023-03-16 06:01:27#2023-03-16 13:55:10#CERRADO#10#PC2
170#2023-03-16 21:58:15.044#LUCY#2023-03-16 13:56:41#2023-03-16 21:58:09#CERRADO#11#PC2
171#2023-03-17 05:56:51.267#CARLOS#2023-03-16 21:59:02#2023-03-17 05:19:39#CERRADO#12#PC2
172#2023-03-17 13:54:19.434#JUAN#2023-03-17 06:05:29#2023-03-17 13:53:59#CERRADO#10#PC2
