idcaja_cierre_item#fecha_creado#creado_por#fk_idcaja_cierre#fk_idcaja_cierre_detalle#maquina
6360#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#1#PC2
6361#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#2#PC2
6362#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#3#PC2
6363#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#4#PC2
6364#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#5#PC2
6365#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#6#PC2
6366#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#7#PC2
6454#2023-01-19 13:58:44.464937#JUAN#5#96#PC2
6455#2023-01-19 13:58:44.464937#JUAN#5#97#PC2
6456#2023-01-19 13:58:44.464937#JUAN#5#98#PC2
6457#2023-01-19 13:58:44.464937#JUAN#5#99#PC2
6458#2023-01-19 13:58:44.464937#JUAN#5#100#PC2
6459#2023-01-19 13:58:44.464937#JUAN#5#101#PC2
6460#2023-01-19 13:58:44.464937#JUAN#5#102#PC2
6461#2023-01-19 13:58:44.464937#JUAN#5#103#PC2
6468#2023-01-19 21:54:14.412532#LUCY#6#104#PC2
6469#2023-01-19 21:54:14.412532#LUCY#6#105#PC2
6470#2023-01-19 21:54:14.412532#LUCY#6#106#PC2
6471#2023-01-19 21:54:14.412532#LUCY#6#107#PC2
6472#2023-01-19 21:54:14.412532#LUCY#6#108#PC2
6473#2023-01-19 21:54:14.412532#LUCY#6#109#PC2
6474#2023-01-19 21:54:14.412532#LUCY#6#110#PC2
6475#2023-01-19 21:54:14.412532#LUCY#6#111#PC2
6476#2023-01-19 21:54:14.412532#LUCY#6#112#PC2
6477#2023-01-19 21:54:14.412532#LUCY#6#113#PC2
6479#2023-01-19 21:54:14.412532#LUCY#6#114#PC2
6478#2023-01-19 21:54:14.412532#LUCY#6#115#PC2
6480#2023-01-19 21:54:14.412532#LUCY#6#116#PC2
6481#2023-01-19 21:54:14.412532#LUCY#6#117#PC2
6482#2023-01-19 21:54:14.412532#LUCY#6#118#PC2
6483#2023-01-19 21:54:14.412532#LUCY#6#119#PC2
6484#2023-01-19 21:54:14.412532#LUCY#6#120#PC2
6485#2023-01-19 21:54:14.412532#LUCY#6#121#PC2
6486#2023-01-19 21:54:14.412532#LUCY#6#122#PC2
6487#2023-01-19 21:54:14.412532#LUCY#6#123#PC2
6488#2023-01-19 21:54:14.412532#LUCY#6#124#PC2
6489#2023-01-19 21:54:14.412532#LUCY#6#125#PC2
6490#2023-01-19 21:54:14.412532#LUCY#6#126#PC2
6491#2023-01-19 21:54:14.412532#LUCY#6#127#PC2
6492#2023-01-19 21:54:14.412532#LUCY#6#128#PC2
6493#2023-01-19 21:54:14.412532#LUCY#6#129#PC2
6494#2023-01-19 21:54:14.412532#LUCY#6#130#PC2
6495#2023-01-19 21:54:14.412532#LUCY#6#131#PC2
6496#2023-01-19 21:54:14.412532#LUCY#6#132#PC2
6497#2023-01-19 21:54:14.412532#LUCY#6#133#PC2
6498#2023-01-19 21:54:14.412532#LUCY#6#134#PC2
6499#2023-01-19 21:54:14.412532#LUCY#6#135#PC2
6500#2023-01-19 21:54:14.412532#LUCY#6#136#PC2
6501#2023-01-19 21:54:14.412532#LUCY#6#137#PC2
6502#2023-01-19 21:54:14.412532#LUCY#6#138#PC2
6503#2023-01-19 21:54:14.412532#LUCY#6#139#PC2
6504#2023-01-19 21:54:14.412532#LUCY#6#140#PC2
6505#2023-01-19 21:54:14.412532#LUCY#6#141#PC2
6506#2023-01-19 21:54:14.412532#LUCY#6#142#PC2
6507#2023-01-19 21:54:14.412532#LUCY#6#143#PC2
6508#2023-01-19 21:54:14.412532#LUCY#6#144#PC2
6509#2023-01-19 21:54:14.412532#LUCY#6#145#PC2
6510#2023-01-19 21:54:14.412532#LUCY#6#146#PC2
6511#2023-01-19 21:54:14.412532#LUCY#6#147#PC2
6512#2023-01-19 21:54:14.412532#LUCY#6#148#PC2
6513#2023-01-19 21:54:14.412532#LUCY#6#149#PC2
6462#2023-01-19 21:54:14.412532#LUCY#6#150#PC2
6463#2023-01-19 21:54:14.412532#LUCY#6#151#PC2
6464#2023-01-19 21:54:14.412532#LUCY#6#152#PC2
6465#2023-01-19 21:54:14.412532#LUCY#6#153#PC2
6466#2023-01-19 21:54:14.412532#LUCY#6#154#PC2
6467#2023-01-19 21:54:14.412532#LUCY#6#155#PC2
6514#2023-01-20 06:04:18.949122#CARLOS#7#156#PC2
